Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
17.292691,121.00,1989-01-03,122.25,120.625,121.875,IBM,5776000
17.507063,122.50,1989-01-04,122.625,121.25,121.50,IBM,5089600
17.471335,122.25,1989-01-05,123.125,122.00,122.50,IBM,5778400
17.417741,121.875,1989-01-06,122.75,121.375,122.50,IBM,5104000
17.435606,122.00,1989-01-09,122.375,121.50,121.625,IBM,4604400
17.310555,121.125,1989-01-10,122.50,120.875,122.125,IBM,4294800
17.471335,122.25,1989-01-11,122.25,120.75,121.125,IBM,3848800
17.596385,123.125,1989-01-12,124.125,122.25,122.50,IBM,7927600
17.632114,123.375,1989-01-13,123.75,122.375,123.125,IBM,4678000
17.757164,124.25,1989-01-16,125.125,123.375,123.625,IBM,4996000
17.703571,123.875,1989-01-17,124.50,123.50,123.875,IBM,4710800
17.86435,125.00,1989-01-18,125.00,122.125,123.875,IBM,7882400
17.757164,124.25,1989-01-19,125.375,123.75,124.875,IBM,6982400
17.667842,123.625,1989-01-20,124.375,123.50,124.00,IBM,4065200
17.489199,122.375,1989-01-23,124.125,122.125,123.50,IBM,3827600
17.757164,124.25,1989-01-24,124.625,122.125,122.375,IBM,5570800
17.614249,123.25,1989-01-25,124.375,123.00,124.25,IBM,5668800
18.007265,126.00,1989-01-26,127.00,123.125,123.125,IBM,10243600
18.132315,126.875,1989-01-27,127.875,126.375,126.75,IBM,11902000
18.400281,128.75,1989-01-30,129.25,127.25,127.375,IBM,8241600
18.668246,130.625,1989-01-31,130.875,127.375,128.75,IBM,9513600
18.525331,129.625,1989-02-01,130.875,129.25,129.75,IBM,8673600
18.503709,128.375,1989-02-02,129.875,127.875,128.75,IBM,6789200
18.413623,127.75,1989-02-03,128.875,126.875,128.00,IBM,6214400
18.251468,126.625,1989-02-06,127.875,126.25,127.25,IBM,4803600
18.395606,127.625,1989-02-07,128.625,126.25,126.25,IBM,6187200
18.305519,127.00,1989-02-08,128.375,126.875,128.125,IBM,6115200
18.215433,126.375,1989-02-09,127.50,126.00,126.375,IBM,6344000
18.017244,125.00,1989-02-10,126.625,125.00,125.75,IBM,7702400
18.161382,126.00,1989-02-13,126.25,124.75,125.75,IBM,5232800
17.981209,124.75,1989-02-14,126.75,124.75,126.625,IBM,4462400
18.305519,127.00,1989-02-15,127.125,124.875,124.875,IBM,6428800
18.143364,125.875,1989-02-16,126.875,125.00,126.875,IBM,5086400
18.053278,125.25,1989-02-17,126.625,125.25,125.875,IBM,5346800
18.089313,125.50,1989-02-21,126.00,125.00,125.625,IBM,4401200
17.783019,123.375,1989-02-22,125.50,123.25,125.25,IBM,5408000
17.783019,123.375,1989-02-23,123.625,122.625,122.75,IBM,6268800
17.458709,121.125,1989-02-24,123.50,121.125,123.375,IBM,6991600
